"facility_id","country","year","ruralurban","publicprivate","m0s0q0","facility_level","transport_central_a","transport_central_hr","transport_central_mn","hours_opt_mn","num_outpatient","has_inpatient","num_inpatient","beds_total","has_births","has_maternity_a","has_maternity_b","has_antibiotics","has_ocytocics","has_anticonvuls","has_placenta","has_poc","has_delivery","has_resusc","has_bloodtrans","has_csection","num_births","transfers_csection","power_a","power_b","power_d","power_c","power_e","power_f","power_g","power_h","power_i","water_a","water_b","water_c","water_d","water_e","water_f","water_g","toilet_opt_a","toilet_opt_d","toilet_opt_e","toilet_ipt_a","toilet_ipt_d","toilet_ipt_e","toilet_disabled","handwashing","sharps_a","sharps_b","sharps_c","sharps_d","sharps_e","sharps_f","sharps_g","sharps_h","sharps_i","sharps_j","sharps_k","sharps_l","sharps_m","sharps_n","sharps_inspected","waste_a","waste_b","waste_c","waste_d","waste_e","waste_f","waste_g","waste_h","waste_i","waste_j","waste_k","waste_l","waste_m","waste_n","incinerator_works","incinerator_power","waste_inspected","waste_guidelines","waste_training","phone_a","phone_b","facmobile_a","facmobile_b","indmobile1_a","indmobile2_a","indmobile2_b","faccomputer_a","faccomputer_b","indcomputer_a","indcomputer_b","radio_a","radio_b","internet_a","internet_b","ambulance_a","ambulance_b","ambulance_c","ambulance_d","ambulance_e","ambulance_f","ambulance_g","ambulance_h","ambulance_i","adultscale_a","adultscale_b","adultscale_c","adultscale_d","thermometer_a","thermometer_b","thermometer_c","thermometer_d","childscale_a","childscale_b","childscale_c","childscale_d","stethoscope_a","stethoscope_b","stethoscope_c","stethoscope_d","infantscale_a","infantscale_b","infantscale_c","infantscale_d","sphgmeter_a","sphgmeter_b","sphgmeter_c","sphgmeter_d","bagmask_a","bagmask_b","bagmask_c","bagmask_d","airway_a","airway_b","airway_c","airway_d","autoclave_a","autoclave_b","autoclave_c","steamer_a","steamer_b","steamer_c","dryheat_a","dryheat_b","dryheat_c","nonelectric_a","nonelectric_b","nonelectric_c","incinerator_a","incinerator_b","incinerator_c","amoxicillin1_a","amoxicillin1_b","ceftriaxone_a","ceftriaxone_b","ciproflox_a","ciproflox_b","diclofenac_a","diclofenac_b","atenolol_a","atenolol_b","captopril_a","captopril_b","simvastatin_a","simvastatin_b","glibenclam_a","glibenclam_b","hypoglycemic_a","hypoglycemic_b","insulin_a","insulin_b","salbutamol_a","salbutamol_b","omeprazole_a","omeprazole_b","diazepam1a_a","diazepam1a_b","amitriptyline_a","amitriptyline_b","rifampicin_a","rifampicin_b","isoniazid_a","isoniazid_b","pyrazinam_a","pyrazinam_b","ethambutol_a","ethambutol_b","oxytocin_a","oxytocin_b","calgluc_a","calgluc_b","magsulf_a","magsulf_b","nacl_a","nacl_b","misoprostol_a","misoprostol_b","ampicillin_a","ampicillin_b","gentamycin_a","gentamycin_b","metronidazole_a","metronidazole_b","azithromycin_a","azithromycin_b","cefixime_a","cefixime_b","benzathine_a","benzathine_b","methasone_a","methasone_b","nifedipine2_a","nifedipine2_b","contraceptive_a","contraceptive_b","depo_a","depo_b","irona_a","irona_b","ironfolic_a","ironfolic_b","folic_a","folic_b","fansidar_a","fansidar_b","paracetamol3_a","paracetamol3_b","morphine_a","morphine_b","amoxicillin3_a","amoxicillin3_b","cotrimoxazole3_a","cotrimoxazole3_b","benzylpenicillin_a","benzylpenicillin_b","ors_a","ors_b","vitamina_a","vitamina_b","zinctabs_a","zinctabs_b","act_a","act_b","artesunate_a","artesunate_b","albendazole_a","albendazole_b","mebendazole_a","mebendazole_b","treat_guidelines","treat_observed","has_gloves","has_mcondoms","has_fcondoms","rdt_a","hivtest_a","glucometer_a","tbtest_a","has_bednet","has_tapemeasure","has_length","does_vaccines","vaccine_store1","has_fridge","fridge_temp","fridge_tempmon","fridge_power","measles_vac","polio_vac","dpt_vac","pentavalent_vac","pneumococ_vac","bcg_vac","hepb_vac","tetanus_vac","has_dispsyringe","has_vaccarrier","has_autosyringe","has_icepacks","has_sharps","vaccine_store2","final_wt","ipw","abs_prob","abs_wt","vign_prob","vign_wt","has_weights","has_facility"
"1","TANZANIA",2014,3,1,1,3,1,2,30,30,2,0,,,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,,,,,,,,,2,0,,,,0,5,6,2,0,1,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,,,1,2,0,0,,2,2,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,2,2,,,0,,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,0,,,0,,,2,2,,,,,1,1,1,1,4,,1,1,6,,6,,6,,6,,6,,6,,5,,4,,4,,5,,6,,6,,6,,6,,1,1,4,,4,,1,1,5,,4,,4,,6,,5,,6,,1,1,5,,6,,1,1,1,1,5,,1,1,5,,1,1,1,1,6,,4,,1,1,1,1,1,1,1,1,1,1,1,1,5,,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,3,4.44444465637207,2,5,1,1,1,1,1,1,1,1,2,2,1,2,2,0,44.8265724182129,44.8265724182129,1,44.8265724182129,1,44.8265724182129,1,1
"10","TANZANIA",2014,2,1,1,2,1,3,0,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,96,30,10,3,1,1,1,2,0,,,,0,0,9,2,0,9,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,,,2,2,0,0,,0,,0,2,2,0,,0,,2,2,0,,1,0,0,0,0,0,0,1,1,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,2,2,,2,2,,2,2,,,,,1,1,1,1,1,1,1,1,5,,5,,6,,1,1,5,,5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,,1,1,1,1,1,1,5,,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,1,1,1,1,1,1,1,1,1,1,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6.11111116409302,2,1,1,1,1,1,1,1,1,1,2,2,0,2,2,0,7.44325542449951,7.44325542449951,1,7.44325542449951,0.5,14.886510848999,1,1
"100","TANZANIA",2014,1,1,1,2,1,1,30,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,,,,,,,,,3,1,0,0,0,0,20,4,2,1,1,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,2,1,0,,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,0,,,,2,2,,2,2,,2,2,,0,,,,,,1,1,1,1,1,1,1,1,4,,5,,6,,6,,6,,6,,5,,,,1,1,5,,1,1,1,1,1,1,1,1,1,1,5,,1,1,1,1,1,1,1,1,1,1,1,1,5,,5,,1,1,5,,5,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,1,1,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8.88888931274414,2,1,1,1,1,1,1,1,5,1,2,2,2,2,2,1,6.82090616226196,6.82090616226196,0.909090936183929,7.50299692153931,0.333333343267441,20.462718963623,1,1
"101","TANZANIA",2014,1,3,1,3,1,2,0,0,2,1,,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,2,0,,,,1,1,1,1,3,1,72,0,3,1,0,4,1,1,10,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,2,2,,,2,2,,,2,2,,,2,2,,0,,,0,,,0,,,,,,1,1,5,,1,1,1,1,1,1,1,1,5,,1,1,1,1,6,,5,,1,1,1,1,5,,6,,6,,6,,6,,1,1,5,,4,,1,1,5,,5,,1,1,5,,5,,5,,1,1,5,,1,1,5,,5,,1,1,1,1,1,1,1,1,1,1,6,,1,1,1,1,1,1,1,1,1,1,1,1,4,,5,,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,3,11.1111106872559,2,1,1,1,1,1,1,1,5,1,2,2,2,2,2,1,5.64754199981689,5.64754199981689,1,5.64754199981689,0.5,11.2950839996338,1,1
"102","TANZANIA",2014,2,5,1,3,4,0,15,0,3,0,,,0,,,,,,,,,,,,,0,2,1,8,30,7,5,1,1,1,3,1,84,0,7,0,20,10,1,1,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,,,4,0,0,2,2,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,0,,,,2,2,,2,2,,2,2,,2,2,,,,,1,1,1,1,1,1,4,,1,1,1,1,5,,1,1,1,1,4,,1,1,1,1,1,1,5,,6,,6,,6,,6,,5,,5,,5,,1,1,5,,5,,1,1,5,,4,,5,,1,1,5,,1,1,1,1,1,1,1,1,1,1,1,1,4,,1,1,6,,1,1,4,,1,1,1,1,1,1,1,1,1,1,5,,1,1,1,1,0,,1,1,0,1,1,1,0,1,0,0,1,1,3,6.66666650772095,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,3.92856812477112,3.92856812477112,0.769230782985687,5.10713815689087,0.333333343267441,11.7857046127319,1,1
"103","TANZANIA",2014,1,1,1,3,1,1,30,0,2,0,,,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,,,,,,,,,1,,,,,0,30,9,2,1,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,2,1,0,0,,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,0,,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,2,2,,,0,,,0,,,0,,,2,2,,,,,1,1,1,1,1,1,1,1,6,,6,,6,,6,,6,,6,,5,,5,,5,,5,,6,,6,,6,,6,,1,1,5,,5,,1,1,5,,5,,1,1,5,,5,,6,,5,,5,,6,,1,1,1,1,1,1,1,1,1,1,1,1,4,,6,,4,,1,1,1,1,1,1,1,1,5,,1,1,5,,1,1,1,1,0,,1,1,0,1,0,0,0,1,1,1,1,1,3,11.1111106872559,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,20.0718421936035,20.0718421936035,1,20.0718421936035,1,20.0718421936035,1,1
"104","TANZANIA",2014,1,1,1,3,1,1,30,0,1,0,,,1,0,1,1,1,1,1,0,0,0,0,0,1,1,2,1,48,0,6,1,1,1,1,3,0,,,,0,0,3,2,1,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,2,0,0,0,,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,0,,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,0,,,,0,,,0,,,0,,,2,2,,,,,1,1,1,1,1,1,1,1,6,,6,,6,,6,,6,,6,,5,,1,1,4,,5,,5,,5,,5,,5,,1,1,5,,1,1,1,1,5,,5,,1,1,1,1,5,,5,,1,1,5,,6,,5,,5,,1,1,1,1,1,1,1,1,1,1,6,,1,1,1,1,1,1,1,1,1,1,5,,1,1,5,,1,1,1,1,0,,1,1,0,1,0,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,1,20.0718421936035,20.0718421936035,1,20.0718421936035,0.5,40.143684387207,1,1
"105","TANZANIA",2014,3,1,1,3,1,0,45,0,1,0,,,0,,,,,,,,,,,,,0,2,1,72,0,3,1,1,1,1,3,0,,,,0,0,10,2,1,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,1,0,0,0,,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,2,2,,,0,,,,0,,,,0,,,0,,,0,,,0,,,,,,1,1,1,1,1,1,1,1,6,,6,,6,,6,,6,,6,,5,,4,,4,,5,,6,,6,,6,,6,,5,,5,,5,,4,,5,,5,,1,1,5,,6,,5,,5,,5,,6,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,,1,1,1,1,1,1,1,1,1,1,5,,1,1,5,,1,1,1,1,0,,1,0,0,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,15.9340867996216,15.9340867996216,1,15.9340867996216,1,15.9340867996216,1,1
"106","TANZANIA",2014,2,1,1,2,1,0,30,0,4,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,2,1,4,0,2,1,1,1,1,3,0,,,,0,0,9,2,1,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,2,1,0,0,,0,,0,0,,0,,0,,0,,0,,1,0,0,0,0,1,0,1,2,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,,2,2,,2,2,,0,,,2,2,,,,,1,1,1,1,1,1,1,1,1,1,1,1,6,,6,,6,,6,,5,,1,1,1,1,5,,1,1,1,1,1,1,1,1,1,1,5,,1,1,1,1,4,,1,1,1,1,1,1,5,,5,,1,1,1,1,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,11.6666669845581,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,10.7938013076782,10.7938013076782,0.370370358228683,29.1432647705078,0.125,86.3504104614258,1,1
"107","TANZANIA",2014,2,1,1,3,1,0,30,0,3,0,,,0,,,,,,,,,,,,,0,2,0,,,,9,1,1,1,1,,,,,0,20,4,2,1,1,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,,0,,0,0,,0,,0,,0,,0,,0,0,0,0,0,1,0,,,2,2,,,2,2,,,2,2,,,2,2,,,0,,,,2,2,,,0,,,,0,,,,0,,,0,,,0,,,0,,,,,,1,1,1,1,1,1,1,1,6,,6,,6,,6,,6,,6,,5,,5,,5,,5,,6,,6,,6,,6,,5,,5,,5,,5,,5,,5,,1,1,5,,5,,5,,5,,5,,6,,1,1,1,1,1,1,1,1,1,1,1,1,4,,6,,1,1,1,1,1,1,1,1,1,1,5,,1,1,5,,1,1,4,,0,,1,1,0,0,0,0,0,0,1,0,1,1,3,8.88888931274414,2,5,1,1,1,1,1,1,5,1,2,2,2,2,2,1,34.8011779785156,34.8011779785156,1,34.8011779785156,0.5,69.6023559570313,1,1
